"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Resident Population (People)","76094000","77584000","79163000","80632000","82166000","83822000","85450000","87008000","88710000","90490000","92407000","93863000","95335000","97225000","99111000","100546000","101961000","103268000","103208000","104514000","106461000","108538000","110049000","111947000","114109000","115829000","117397000","119035000","120509000","121767000","123076741","124039648","124840471","125578763","126373773","127250232","128053180","128824829","129824939","130879718","132122446","133402471","134859553","136739353","138397345","139928165","141388566","144126071","146631302","149188130","152271417","154877889","157552740","160184192","163025854","165931202","168903031","171984130","174881904","177829628","180671158","183691481","186537737","189241798","191888791","194302963","196560338","198712056","200706052","202676946","205052174","207660677","209896021","211908788","213853928","215973199","218035164","220239425","222584545","225055487","227224681","229465714","231664458","233791994","235824902","237923795","240132887","242288918","244498982","246819230","249464396","252153092","255029699","257782608","260327021","262803276","265228572","267783607","270248003","272690813","282162411","284968955","287625193","290107933","292805298","295516599","298379912","301231207","304093966","306771529","309327143","311583481","313877662","316059947","318386329","320738994","323071755","325122128","326838199","328329953","331526933","332048977","333271411"
"    Age",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Under 5 years of age (People)","9181000","9336000","9502000","9645000","9791000","9944000","10092000","10220000","10364000","10509000","10671000","10796000","10915000","11082000","11244000","11347000","11442000","11527000","11606000","11536000","11631000","11879000","12031000","12119000","12269000","12316000","12189000","12111000","11978000","11734000","11372115","11179407","10903103","10612152","10330791","10170377","10043792","10008673","10176429","10418326","10578643","10849632","11301496","12016357","12523814","12978811","13243923","14405735","14918931","15607096","16409955","17333447","17312258","17638336","18057457","18566313","19003397","19493808","19886602","20175118","20341249","20522270","20468793","20341531","20164865","19823841","19207974","18562509","17913415","17375513","17166191","17243968","17101353","16850846","16486729","16121483","15617115","15563659","15735004","16062882","16451188","16892767","17227895","17546968","17694998","17841708","17962587","18052290","18195465","18508093","18856447","19208046","19528041","19729275","19776862","19626505","19408272","19232671","19144923","19135544","19178293","19298217","19429192","19592446","19785885","19917400","19938883","20125962","20271127","20244518","20189578","20126211","19980936","19855184","19878806","19924706","19936737","19895016","19778527","19571339","19070030","18676229","18538353"
"        5 to 14 years (People)","16966000","17158000","17360000","17524000","17697000","17888000","18067000","18239000","18440000","18670000","18950000","19214000","19503000","19904000","20316000","20660000","21008000","21369000","21732000","21849000","22158000","22515000","22788000","23089000","23358000","23614000","23906000","24152000","24320000","24470000","24630790","24628926","24614196","24531515","24401771","24212662","23941995","23564194","23145885","22700713","22363255","22089213","21823594","21698659","21573142","21598930","21843913","22257249","23089179","23769912","24587196","25167613","26773137","28003414","29222385","30386755","31569722","32669693","33486798","34564105","35735498","37031409","37435058","38123689","38782832","39426447","40051185","40495934","40771590","40883750","40772280","40490468","39945515","39308434","38715753","38240018","37758862","37033667","36219589","35391774","34838697","34360571","34102586","33921858","33788303","33692422","33572752","33807229","34255589","34713696","35289633","36037085","36676867","37367359","38025965","38645220","39295639","39854729","40335509","40819824","41101548","41152040","41133838","41036204","40865917","40601646","40577826","40555653","40636257","40843063","41012845","41050515","41146522","41232578","41200030","41105432","41084557","41113762","41100800","41041806","41520293","41252208","40899034"
"        15 to 24 years (People)","14951000","15242000","15555000","15858000","16178000","16526000","16864000","17184000","17526000","17871000","18212000","18355000","18477000","18649000","18796000","18844000","18872000","18836000","18071000","18465000","18821000","19140000","19402000","19798000","20314000","20691000","21037000","21430000","21811000","22151000","22487349","22617771","22715946","22819782","22962468","23129691","23309273","23486548","23655060","23818890","24032998","24074647","24093662","24064965","23999097","23705093","23382751","23122434","22865667","22570038","22355797","22109544","21885265","21745912","21726556","21752838","21956201","22401116","23257021","23987901","24576354","25241720","26909476","28222553","29518763","30773170","32012218","33195648","34089506","35236012","36535203","37947543","38449007","39240266","40017005","40811662","41520290","42039541","42442086","42698483","42496648","42203419","41643879","41020290","40460043","39991892","39556684","38889932","38150913","37390779","36921979","36504705","36434242","36463777","36531873","36674212","36796805","37307767","38006835","38676031","39411622","40213570","40854135","41388854","41948112","42446169","42843844","43145815","43391492","43576932","43684315","43826612","43970419","44010321","43952354","43779770","43507796","43167197","42902176","42710397","44015744","44061165","44341571"
"        25 to 34 years (People)","12161000","12442000","12737000","13019000","13315000","13631000","13952000","14257000","14585000","14923000","15274000","15530000","15772000","16070000","16370000","16580000","16776000","16913000","16445000","16912000","17416000","17747000","17924000","18231000","18557000","18720000","18867000","18948000","18953000","18941000","19038836","19241798","19484421","19749571","20021726","20274897","20505279","20722825","20952512","21176636","21445949","21690711","21911247","22194584","22511096","22733707","22953677","23235875","23494139","23728395","24035773","24189380","24301741","24340007","24340028","24282230","24121735","23843778","23538318","23168746","22918530","22691602","22494166","22409982","22396301","22464997","22725169","23156208","23989751","24680670","25323532","25958294","27623937","28939077","30225400","31471262","32758856","33998226","34963103","36202624","37428687","38900546","39417346","40207832","40961840","41696515","42371801","42840709","43130183","43236392","43215820","43224002","42996970","42652396","42329554","42052123","41809305","41344963","40756512","40178406","39804497","39471522","39349646","39243795","39266556","39258647","39395179","39713463","40207473","40723342","41212154","41800949","42304034","42854406","43475811","44073239","44775127","45319858","45679060","46003684","45552696","45429181","45501300"
"        35 to 44 years (People)","9273000","9504000","9745000","9974000","10211000","10461000","10705000","10945000","11202000","11471000","11759000","12003000","12252000","12562000","12875000","13130000","13388000","13647000","13879000","14008000","14382000","14665000","14823000","15066000","15337000","15576000","15847000","16172000","16540000","16921000","17270563","17411968","17503145","17569718","17640107","17712398","17782878","17866359","18000918","18177378","18421666","18692072","18949757","19226371","19504716","19786842","20072817","20421307","20793769","21187254","21636469","21913676","22192804","22445779","22661465","22911539","23257200","23596470","23798208","24022767","24221363","24392423","24518787","24584346","24561642","24447046","24275517","24038156","23730711","23383051","23149652","22978047","22859507","22810067","22825489","22830830","23093851","23562471","24436821","25175999","25805222","26394405","28030377","29267313","30502944","31691031","33009010","34226446","35180440","36414447","37783237","39329466","39976334","40911550","41818866","42710768","43551263","44228415","44748354","45076677","45168843","45051752","44640649","44154206","43800275","43505538","43243801","42796230","42192486","41487811","37032786","36804355","36560489","36449266","36318132","36071840","36164277","36406350","36856449","37354541","38263313","38770768","39218815"
"        45 to 54 years (People)","6437000","6606000","6788000","6964000","7150000","7350000","7554000","7755000","7974000","8204000","8454000","8657000","8875000","9135000","9398000","9618000","9846000","10068000","10293000","10402000","10505000","10721000","10899000","11068000","11278000","11521000","11786000","12092000","12430000","12761000","13095231","13296325","13480873","13684948","13932577","14208291","14494692","14785741","15076982","15336761","15554618","15759376","15976016","16198960","16419469","16642726","16819792","16970667","17106828","17260113","17452944","17676821","17935023","18227498","18559816","18884415","19205919","19579523","19927235","20261918","20578122","20875499","21123616","21345899","21580131","21839179","22125113","22439817","22758035","23047088","23316402","23518574","23686132","23807018","23808746","23756641","23622096","23370355","23173601","22942025","22742771","22579485","22425286","22355442","22385372","22459257","22658896","23095853","23949210","24633174","25206778","25820152","27547718","28863949","30152761","31480239","32799965","34177508","35231857","36577819","37998974","39386268","39992194","40819954","41629930","42495904","43286159","43939939","44460447","44867088","44986457","44725889","44255965","43749265","43329465","43013105","42703288","42227049","41571660","40860323","40992735","40595371","40431645"
"        55 to 64 years (People)","4026000","4122000","4220000","4313000","4410000","4517000","4621000","4724000","4840000","4964000","5101000","5234000","5372000","5542000","5711000","5866000","6026000","6194000","6356000","6456000","6619000","6791000","6951000","7165000","7387000","7605000","7805000","8003000","8178000","8315000","8476038","8734774","8992569","9248633","9501795","9738432","9948748","10132869","10309458","10486738","10694186","10959139","11220297","11471766","11718488","11987997","12244243","12527372","12823765","13145048","13396107","13684847","13949121","14166187","14382318","14621642","14851198","15011922","15181646","15401150","15625011","15847348","16131238","16436141","16757559","17076890","17408031","17752369","18087927","18390397","18682185","18962323","19210749","19428146","19713323","20045008","20385993","20779661","21112290","21447956","21754058","21913749","22029823","22111766","22154045","22135001","21993783","21750615","21513632","21240949","21101641","21045861","20998058","21028471","21159137","21320022","21589986","22099311","23010955","23778026","24429066","25105295","26703332","28008945","29305304","30641497","31930113","33128434","34157063","35405600","36782889","38068633","38575865","39279688","39985560","40746246","41391871","41873702","42219277","42431225","42795410","42543029","42085437"
"        65+ years (People)","3099000","3174000","3256000","3335000","3414000","3505000","3595000","3684000","3779000","3878000","3986000","4074000","4169000","4281000","4401000","4501000","4603000","4714000","4826000","4886000","4929000","5080000","5231000","5411000","5609000","5786000","5960000","6127000","6299000","6474000","6705819","6928679","7146218","7362444","7582538","7803484","8026523","8257620","8507695","8764276","9031131","9287681","9583484","9867691","10147523","10494059","10827450","11185432","11539024","11920274","12397176","12802561","13203391","13617059","14075829","14525470","14937659","15387820","15806076","16247923","16675031","17089210","17456603","17777657","18126698","18451393","18755131","19071415","19365117","19680465","20106729","20561460","21019821","21524934","22061483","22696295","23278101","23891845","24502051","25133744","25707448","26220666","26787304","27360434","27877238","28415906","29007328","29625949","30123404","30681589","31247279","31811624","32355994","32901811","33330803","33769304","34143049","34401561","34619159","34797841","35069568","35290291","35522207","35863529","36203319","36649798","37164107","37825711","38777621","39623175","40478249","41350891","43132211","44632337","46161005","47655870","49208479","50757639","52354605","54036735","54826523","56229126","57794852"
